Date : 2024-08-25 14:45:44
Directory : /Users/wangrundong/Documents/Projects/QtQQ
Total : 216 files,  127651 codes, 2188 comments, 3658 blanks, all 133497 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/index-2024-08-25T05-53-46-0194.json                                                        | JSON        |         89 |          0 |          1 |         90 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ-Debug-390e813e2a3ce8c3f58a.json                                                | JSON        |      1,617 |          0 |          1 |      1,618 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_autogen-Debug-b43646f98e66d6118043.json                                        | JSON        |         71 |          0 |          1 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_autogen_timestamp_deps-Debug-c808314651eb31f69626.json                         | JSON        |         34 |          0 |          1 |         35 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_qmlimportscan-Debug-9a7691100157ccb453d7.json                                  | JSON        |        117 |          0 |          1 |        118 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qt/QtDeploySupport.cmake                                                                                      | CMake       |         63 |          0 |          5 |         68 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qt/deploy_qml_imports/QtQQ.cmake                                                                              | CMake       |         17 |          0 |          4 |         21 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qt_plugins/Qt6_QmlPlugins_Imports_QtQQ.cmake                                                                  | CMake       |          1 |          0 |          2 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qtc/package-manager/auto-setup.cmake                                                                          | CMake       |        234 |          0 |         36 |        270 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qtc/package-manager/conan.cmake                                                                               | CMake       |        908 |          0 |        119 |      1,027 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qtc/package-manager/conan_provider.cmake                                                                      | CMake       |        574 |          0 |         82 |        656 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.qtc_clangd/compile_commands.json                                                                              | JSON        |          1 |          0 |          0 |          1 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeCache.txt                                                                                                 | CMake Cache |      1,384 |          0 |        129 |      1,513 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CMakeCXXCompiler.cmake                                                                       | CMake       |         78 |          0 |         24 |        102 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CMakeSystem.cmake                                                                            | CMake       |         10 |          0 |          6 |         16 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CompilerIdCXX/CMakeCXXCompilerId.cpp                                                         | C++         |        707 |         62 |        151 |        920 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/CMakeConfigureLog.yaml                                                                              | YAML        |        234 |          2 |         20 |        256 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/CMakeDirectoryInformation.cmake                                                                     | CMake       |         12 |          0 |          5 |         17 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/Makefile.cmake                                                                                      | CMake       |        885 |          0 |          6 |        891 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ.dir/DependInfo.cmake                                                                           | CMake       |         42 |          0 |          7 |         49 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ.dir/cmake_clean.cmake                                                                          | CMake       |         64 |          0 |          2 |         66 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ.dir/compiler_depend.ts                                                                         | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir/AutoRcc_ccmainwindow_EWIEGA46WW_Info.json                                          | JSON        |        384 |          0 |          1 |        385 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir/AutogenInfo.json                                                                   | JSON        |      1,526 |          0 |          1 |      1,527 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir/DependInfo.cmake                                                                   | CMake       |         17 |          0 |          7 |         24 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir/cmake_clean.cmake                                                                  | CMake       |         19 |          0 |          2 |         21 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir/compiler_depend.ts                                                                 | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen_timestamp_deps.dir/DependInfo.cmake                                                    | CMake       |         16 |          0 |          7 |         23 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen_timestamp_deps.dir/cmake_clean.cmake                                                   | CMake       |          4 |          0 |          2 |          6 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen_timestamp_deps.dir/compiler_depend.ts                                                  | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_qmlimportscan.dir/DependInfo.cmake                                                             | CMake       |         16 |          0 |          7 |         23 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_qmlimportscan.dir/cmake_clean.cmake                                                            | CMake       |          8 |          0 |          2 |         10 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_qmlimportscan.dir/compiler_depend.ts                                                           | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/Makefile                                                                                                       | Makefile    |        573 |        140 |        208 |        921 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ.app/Contents/MacOS/tradeprintinfo.ini                                                                     | Ini         |          4 |          0 |          1 |          5 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_basicwindow.cpp                                                                    | C++         |        199 |         21 |         19 |        239 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_ccmainwindow.cpp                                                                   | C++         |        167 |         16 |         19 |        202 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_contactitem.cpp                                                                    | C++         |         90 |          9 |         17 |        116 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_custommenu.cpp                                                                     | C++         |         90 |          9 |         17 |        116 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_emotionlabelitem.cpp                                                               | C++         |        136 |         13 |         20 |        169 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_emotionwindow.cpp                                                                  | C++         |        163 |         18 |         23 |        204 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_msgwebview.cpp                                                                     | C++         |        387 |         25 |         42 |        454 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_notifymanager.cpp                                                                  | C++         |        135 |         13 |         20 |        168 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_qclicklabel.cpp                                                                    | C++         |        131 |         13 |         20 |        164 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_qmsgtextedit.cpp                                                                   | C++         |        122 |         12 |         19 |        153 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_receivefile.cpp                                                                    | C++         |        147 |         17 |         22 |        186 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_rootcontactitem.cpp                                                                | C++         |        160 |         15 |         21 |        196 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_sendfile.cpp                                                                       | C++         |        170 |         17 |         22 |        209 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_skinwindow.cpp                                                                     | C++         |         91 |          9 |         17 |        117 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_systray.cpp                                                                        | C++         |        125 |         12 |         19 |        156 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_talkwindow.cpp                                                                     | C++         |        157 |         15 |         19 |        191 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_talkwindowitem.cpp                                                                 | C++         |        130 |         13 |         20 |        163 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_talkwindowshell.cpp                                                                | C++         |        193 |         17 |         19 |        229 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_titlebar.cpp                                                                       | C++         |        220 |         25 |         25 |        270 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_userlogin.cpp                                                                      | C++         |        118 |         12 |         19 |        149 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/moc_windowmanager.cpp                                                                  | C++         |         91 |          9 |         17 |        117 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW/qrc_ccmainwindow.cpp                                                                   | C++         |     48,935 |      1,103 |         46 |     50,084 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_ccmainwindow.h                                                                         | C++         |        357 |          7 |         81 |        445 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_contactitem.h                                                                          | C++         |         76 |          7 |         25 |        108 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_emotionwindow.h                                                                        | C++         |         89 |          7 |         21 |        117 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_receivefile.h                                                                          | C++         |         61 |          7 |         13 |         81 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_sendfile.h                                                                             | C++         |         60 |          7 |         13 |         80 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_skinwindow.h                                                                           | C++         |        100 |          7 |         25 |        132 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_talkwindow.h                                                                           | C++         |        372 |          7 |         65 |        444 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_talkwindowitem.h                                                                       | C++         |         74 |          7 |         19 |        100 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_talkwindowshell.h                                                                      | C++         |         81 |          7 |         17 |        105 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/include/ui_userlogin.h                                                                            | C++         |        166 |          7 |         53 |        226 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/moc_predefs.h                                                                                     | C++         |        491 |          0 |          1 |        492 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/QtQQ_autogen/mocs_compilation.cpp                                                                              | C++         |         21 |          1 |          1 |         23 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/Testing/Temporary/LastTest.log                                                                                 | Log         |          3 |          0 |          1 |          4 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/cmake_install.cmake                                                                                            | CMake       |         60 |          0 |          9 |         69 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/qtcsettings.cmake                                                                                              | CMake       |          1 |          0 |          2 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/ccmainwindow.cpp                                                                                                                    | C++         |        330 |         20 |         69 |        419 |
| /Users/wangrundong/Documents/Projects/QtQQ/ccmainwindow.h                                                                                                                      | C++         |         45 |          1 |         13 |         59 |
| /Users/wangrundong/Documents/Projects/QtQQ/ccmainwindow.qrc                                                                                                                    | XML         |        364 |          0 |          1 |        365 |
| /Users/wangrundong/Documents/Projects/QtQQ/ccmainwindow.ui                                                                                                                     | XML         |        828 |          0 |          1 |        829 |
| /Users/wangrundong/Documents/Projects/QtQQ/commonutils.cpp                                                                                                                     | C++         |         56 |          3 |         13 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/commonutils.h                                                                                                                       | C++         |         29 |          2 |          7 |         38 |
| /Users/wangrundong/Documents/Projects/QtQQ/contactitem.cpp                                                                                                                     | C++         |         34 |          0 |         11 |         45 |
| /Users/wangrundong/Documents/Projects/QtQQ/contactitem.h                                                                                                                       | C++         |         25 |          1 |          9 |         35 |
| /Users/wangrundong/Documents/Projects/QtQQ/contactitem.ui                                                                                                                      | XML         |        126 |          0 |          1 |        127 |
| /Users/wangrundong/Documents/Projects/QtQQ/custommenu.cpp                                                                                                                      | C++         |         19 |          0 |          5 |         24 |
| /Users/wangrundong/Documents/Projects/QtQQ/custommenu.h                                                                                                                        | C++         |         17 |          1 |          6 |         24 |
| /Users/wangrundong/Documents/Projects/QtQQ/emotionlabelitem.cpp                                                                                                                | C++         |         27 |          0 |          8 |         35 |
| /Users/wangrundong/Documents/Projects/QtQQ/emotionlabelitem.h                                                                                                                  | C++         |         21 |          1 |          9 |         31 |
| /Users/wangrundong/Documents/Projects/QtQQ/emotionwindow.cpp                                                                                                                   | C++         |         46 |          1 |         16 |         63 |
| /Users/wangrundong/Documents/Projects/QtQQ/emotionwindow.h                                                                                                                     | C++         |         26 |          1 |         10 |         37 |
| /Users/wangrundong/Documents/Projects/QtQQ/emotionwindow.ui                                                                                                                    | XML         |        141 |          0 |          1 |        142 |
| /Users/wangrundong/Documents/Projects/QtQQ/main.cpp                                                                                                                            | C++         |         19 |          1 |          7 |         27 |
| /Users/wangrundong/Documents/Projects/QtQQ/msgwebview.cpp                                                                                                                      | C++         |        186 |         18 |         49 |        253 |
| /Users/wangrundong/Documents/Projects/QtQQ/msgwebview.h                                                                                                                        | C++         |         46 |          4 |         15 |         65 |
| /Users/wangrundong/Documents/Projects/QtQQ/notifymanager.cpp                                                                                                                   | C++         |         19 |          0 |          8 |         27 |
| /Users/wangrundong/Documents/Projects/QtQQ/notifymanager.h                                                                                                                     | C++         |         17 |          2 |          8 |         27 |
| /Users/wangrundong/Documents/Projects/QtQQ/qclicklabel.cpp                                                                                                                     | C++         |         12 |          0 |          5 |         17 |
| /Users/wangrundong/Documents/Projects/QtQQ/qclicklabel.h                                                                                                                       | C++         |         14 |          1 |          6 |         21 |
| /Users/wangrundong/Documents/Projects/QtQQ/qmsgtextedit.cpp                                                                                                                    | C++         |         39 |          6 |         15 |         60 |
| /Users/wangrundong/Documents/Projects/QtQQ/qmsgtextedit.h                                                                                                                      | C++         |         20 |          0 |          7 |         27 |
| /Users/wangrundong/Documents/Projects/QtQQ/receivefile.cpp                                                                                                                     | C++         |         47 |          1 |         16 |         64 |
| /Users/wangrundong/Documents/Projects/QtQQ/receivefile.h                                                                                                                       | C++         |         24 |          0 |         10 |         34 |
| /Users/wangrundong/Documents/Projects/QtQQ/receivefile.ui                                                                                                                      | XML         |        102 |          0 |          1 |        103 |
| /Users/wangrundong/Documents/Projects/QtQQ/rootcontactitem.cpp                                                                                                                 | C++         |         62 |          6 |         24 |         92 |
| /Users/wangrundong/Documents/Projects/QtQQ/rootcontactitem.h                                                                                                                   | C++         |         28 |          2 |         10 |         40 |
| /Users/wangrundong/Documents/Projects/QtQQ/sendfile.cpp                                                                                                                        | C++         |         55 |          0 |         17 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/sendfile.h                                                                                                                          | C++         |         24 |          1 |          9 |         34 |
| /Users/wangrundong/Documents/Projects/QtQQ/sendfile.ui                                                                                                                         | XML         |         99 |          0 |          1 |        100 |
| /Users/wangrundong/Documents/Projects/QtQQ/skinwindow.cpp                                                                                                                      | C++         |         42 |          1 |         11 |         54 |
| /Users/wangrundong/Documents/Projects/QtQQ/skinwindow.h                                                                                                                        | C++         |         18 |          1 |          7 |         26 |
| /Users/wangrundong/Documents/Projects/QtQQ/skinwindow.ui                                                                                                                       | XML         |        174 |          0 |          1 |        175 |
| /Users/wangrundong/Documents/Projects/QtQQ/systray.cpp                                                                                                                         | C++         |         43 |          0 |         11 |         54 |
| /Users/wangrundong/Documents/Projects/QtQQ/systray.h                                                                                                                           | C++         |         18 |          1 |          7 |         26 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindow.cpp                                                                                                                      | C++         |        178 |          9 |         49 |        236 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindow.h                                                                                                                        | C++         |         40 |          0 |         14 |         54 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindow.ui                                                                                                                       | XML         |        867 |          0 |          1 |        868 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowitem.cpp                                                                                                                  | C++         |         46 |          0 |         14 |         60 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowitem.h                                                                                                                    | C++         |         29 |          0 |         10 |         39 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowitem.ui                                                                                                                   | XML         |        120 |          0 |          1 |        121 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowshell.cpp                                                                                                                 | C++         |        382 |         35 |         80 |        497 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowshell.h                                                                                                                   | C++         |         55 |          6 |         17 |         78 |
| /Users/wangrundong/Documents/Projects/QtQQ/talkwindowshell.ui                                                                                                                  | XML         |        112 |          0 |          2 |        114 |
| /Users/wangrundong/Documents/Projects/QtQQ/titlebar.cpp                                                                                                                        | C++         |        182 |         16 |         41 |        239 |
| /Users/wangrundong/Documents/Projects/QtQQ/titlebar.h                                                                                                                          | C++         |         55 |          7 |         17 |         79 |
| /Users/wangrundong/Documents/Projects/QtQQ/userlogin.cpp                                                                                                                       | C++         |        107 |          7 |         24 |        138 |
| /Users/wangrundong/Documents/Projects/QtQQ/userlogin.h                                                                                                                         | C++         |         24 |          1 |          9 |         34 |
| /Users/wangrundong/Documents/Projects/QtQQ/userlogin.ui                                                                                                                        | XML         |        382 |          0 |          1 |        383 |
| /Users/wangrundong/Documents/Projects/QtQQ/windowmanager.cpp                                                                                                                   | C++         |         71 |          3 |         18 |         92 |
| /Users/wangrundong/Documents/Projects/QtQQ/windowmanager.h                                                                                                                     | C++         |         24 |          1 |          8 |         33 |
| Total                                                                                                                                                                          |             |    127,651 |      2,188 |      3,658 |    133,497 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
